Age,Gender,Item_Purchased,Category,Season,Payment_Method,Shipping_Type
29,Male,Skirt,Clothing,Winter,Debit Card,Next Day Air
47,Male,Coat,Outerwear,Summer,Bank Transfer,Next Day Air
40,Male,Jacket,Outerwear,Winter,Venmo,2-Day Shipping
41,Male,Backpack,Accessories,Summer,PayPal,Store Pickup
21,Male,Coat,Outerwear,Summer,PayPal,Store Pickup
69,Male,Hoodie,Clothing,Summer,Credit Card,Free Shipping
63,Male,Belt,Accessories,Spring,Debit Card,Standard
50,Male,Sweater,Clothing,Summer,Credit Card,Express
55,Male,Scarf,Accessories,Winter,Bank Transfer,Store Pickup
30,Male,Sneakers,Footwear,Spring,Credit Card,Free Shipping
33,Male,Sunglasses,Accessories,Winter,Credit Card,2-Day Shipping
65,Male,Boots,Footwear,Fall,PayPal,Standard
65,Male,Backpack,Accessories,Spring,Credit Card,2-Day Shipping
31,Male,Blouse,Clothing,Winter,Bank Transfer,2-Day Shipping
45,Male,Coat,Outerwear,Winter,PayPal,Store Pickup
57,Male,Handbag,Accessories,Summer,Credit Card,Next Day Air
48,Male,Belt,Accessories,Summer,Credit Card,Express
22,Male,Belt,Accessories,Fall,Credit Card,Express
36,Male,Dress,Clothing,Summer,Debit Card,Express
18,Male,Dress,Clothing,Winter,Debit Card,Store Pickup
48,Male,Pants,Clothing,Spring,Debit Card,Free Shipping
49,Male,Gloves,Accessories,Spring,PayPal,Express
64,Male,Scarf,Accessories,Summer,Debit Card,Free Shipping
50,Male,Hat,Accessories,Summer,Bank Transfer,Free Shipping
22,Male,Dress,Clothing,Summer,Debit Card,Next Day Air
50,Male,Skirt,Clothing,Spring,Venmo,Free Shipping
38,Male,Jacket,Outerwear,Winter,Bank Transfer,2-Day Shipping
19,Male,Sandals,Footwear,Summer,Credit Card,Store Pickup
67,Male,Shoes,Footwear,Summer,PayPal,Express
19,Male,Pants,Clothing,Spring,Bank Transfer,2-Day Shipping
36,Male,Dress,Clothing,Summer,Debit Card,Standard
52,Male,Coat,Outerwear,Spring,Cash,Standard
53,Male,Sunglasses,Accessories,Winter,Credit Card,Next Day Air
24,Male,Hoodie,Clothing,Spring,Venmo,2-Day Shipping
52,Male,Shoes,Footwear,Fall,Debit Card,2-Day Shipping
33,Male,T-shirt,Clothing,Fall,Credit Card,Free Shipping
47,Male,Jacket,Outerwear,Fall,Bank Transfer,Next Day Air
25,Male,Hat,Accessories,Summer,Venmo,Express
44,Male,Scarf,Accessories,Winter,PayPal,Standard
61,Male,Jacket,Outerwear,Winter,Cash,2-Day Shipping
37,Male,Sweater,Clothing,Fall,PayPal,Standard
58,Male,Skirt,Clothing,Spring,Bank Transfer,Free Shipping
37,Male,Sneakers,Footwear,Fall,PayPal,Free Shipping
32,Male,Gloves,Accessories,Spring,Venmo,Express
21,Male,Shoes,Footwear,Winter,PayPal,Store Pickup
20,Male,Jeans,Clothing,Spring,Cash,Next Day Air
26,Male,Hoodie,Clothing,Summer,Cash,Express
62,Male,Sunglasses,Accessories,Fall,PayPal,Express
27,Male,Coat,Outerwear,Spring,Venmo,Express
51,Male,Socks,Clothing,Winter,Credit Card,Next Day Air
54,Male,Boots,Footwear,Winter,Debit Card,Next Day Air
55,Male,Sunglasses,Accessories,Spring,Bank Transfer,2-Day Shipping
69,Male,Backpack,Accessories,Fall,Bank Transfer,Next Day Air
64,Male,Jacket,Outerwear,Summer,Cash,Standard
28,Male,Sneakers,Footwear,Winter,Cash,Next Day Air
70,Male,Socks,Clothing,Spring,Bank Transfer,Next Day Air
58,Male,T-shirt,Clothing,Spring,Cash,Next Day Air
56,Male,Backpack,Accessories,Summer,Bank Transfer,Standard
26,Male,Belt,Accessories,Summer,PayPal,Free Shipping
37,Male,Gloves,Accessories,Spring,Credit Card,Free Shipping
44,Male,Hat,Accessories,Winter,Debit Card,Next Day Air
70,Male,Coat,Outerwear,Summer,Venmo,Store Pickup
53,Male,Skirt,Clothing,Spring,Cash,Standard
55,Male,Shoes,Footwear,Spring,PayPal,Free Shipping
50,Male,Sandals,Footwear,Summer,Bank Transfer,Express
50,Male,Sweater,Clothing,Fall,Bank Transfer,2-Day Shipping
38,Male,Coat,Outerwear,Fall,Debit Card,Express
64,Male,Hat,Accessories,Summer,PayPal,Express
19,Male,Shorts,Clothing,Winter,Cash,Standard
40,Male,Backpack,Accessories,Spring,Credit Card,2-Day Shipping
57,Male,Sweater,Clothing,Fall,Debit Card,Free Shipping
44,Male,Sweater,Clothing,Spring,PayPal,Next Day Air
49,Male,Shorts,Clothing,Winter,Cash,Next Day Air
43,Male,Shorts,Clothing,Spring,Bank Transfer,Store Pickup
24,Male,Sweater,Clothing,Winter,Venmo,Next Day Air
20,Male,Scarf,Accessories,Spring,Venmo,Standard
24,Male,Dress,Clothing,Summer,Cash,2-Day Shipping
44,Male,Scarf,Accessories,Fall,Credit Card,Next Day Air
28,Male,Skirt,Clothing,Summer,PayPal,Standard
30,Male,Backpack,Accessories,Fall,Bank Transfer,2-Day Shipping
52,Male,Sweater,Clothing,Winter,Bank Transfer,Next Day Air
43,Male,Hat,Accessories,Fall,Credit Card,Store Pickup
43,Male,Sandals,Footwear,Fall,PayPal,Express
39,Male,Blouse,Clothing,Winter,Credit Card,Free Shipping
68,Male,Sneakers,Footwear,Spring,Cash,Free Shipping
68,Male,Skirt,Clothing,Winter,Cash,Store Pickup
49,Male,Coat,Outerwear,Fall,Debit Card,Store Pickup
63,Male,Shirt,Clothing,Fall,Bank Transfer,2-Day Shipping
56,Male,Gloves,Accessories,Fall,PayPal,Free Shipping
37,Male,Jacket,Outerwear,Fall,PayPal,Free Shipping
30,Male,Coat,Outerwear,Fall,Bank Transfer,Store Pickup
19,Male,Shoes,Footwear,Fall,Credit Card,Express
24,Male,Jewelry,Accessories,Fall,Venmo,Standard
52,Male,Skirt,Clothing,Fall,Debit Card,Standard
63,Male,Shoes,Footwear,Summer,Bank Transfer,2-Day Shipping
37,Male,Gloves,Accessories,Fall,PayPal,Store Pickup
38,Male,Pants,Clothing,Summer,Venmo,Free Shipping
35,Male,Boots,Footwear,Fall,Bank Transfer,Standard
28,Male,Sunglasses,Accessories,Fall,Debit Card,Next Day Air
30,Male,Shirt,Clothing,Summer,PayPal,Express
69,Male,Hoodie,Clothing,Winter,Debit Card,Standard
41,Male,Dress,Clothing,Fall,Debit Card,Next Day Air
63,Male,Socks,Clothing,Spring,Cash,Free Shipping
35,Male,Shorts,Clothing,Fall,Venmo,Standard
36,Male,Hat,Accessories,Fall,Debit Card,Next Day Air
25,Male,Shirt,Clothing,Fall,Bank Transfer,Standard
58,Male,Gloves,Accessories,Fall,Debit Card,Store Pickup
27,Male,Gloves,Accessories,Summer,Bank Transfer,Free Shipping
65,Male,Backpack,Accessories,Fall,Venmo,Express
54,Male,Sunglasses,Accessories,Summer,Credit Card,Store Pickup
54,Male,Skirt,Clothing,Summer,PayPal,Standard
59,Male,Handbag,Accessories,Spring,Debit Card,Free Shipping
42,Male,Handbag,Accessories,Winter,Credit Card,Store Pickup
46,Male,Sneakers,Footwear,Fall,Cash,Store Pickup
33,Male,Gloves,Accessories,Fall,Venmo,Express
34,Male,Shoes,Footwear,Summer,Bank Transfer,Express
27,Male,Jacket,Outerwear,Summer,Credit Card,Standard
52,Male,Shirt,Clothing,Fall,Venmo,Store Pickup
29,Male,Shorts,Clothing,Summer,Debit Card,Store Pickup
54,Male,Jewelry,Accessories,Summer,Bank Transfer,Next Day Air
25,Male,Hat,Accessories,Fall,PayPal,Standard
41,Male,Shoes,Footwear,Winter,Venmo,Express
53,Male,Coat,Outerwear,Fall,Debit Card,Next Day Air
53,Male,Backpack,Accessories,Spring,Bank Transfer,Next Day Air
21,Male,Hoodie,Clothing,Fall,Debit Card,Next Day Air
61,Male,Skirt,Clothing,Fall,Debit Card,2-Day Shipping
64,Male,Boots,Footwear,Fall,Debit Card,Store Pickup
51,Male,Sandals,Footwear,Fall,Cash,Store Pickup
32,Male,Pants,Clothing,Summer,Venmo,Next Day Air
38,Male,Gloves,Accessories,Summer,Venmo,Store Pickup
58,Male,Skirt,Clothing,Spring,Bank Transfer,2-Day Shipping
32,Male,Sneakers,Footwear,Spring,Cash,Express
46,Male,T-shirt,Clothing,Summer,Bank Transfer,Store Pickup
39,Male,Backpack,Accessories,Summer,Debit Card,Standard
19,Male,Shoes,Footwear,Spring,Credit Card,Store Pickup
50,Male,Hoodie,Clothing,Spring,Credit Card,Express
36,Male,Blouse,Clothing,Fall,Venmo,Next Day Air
65,Male,Coat,Outerwear,Fall,Venmo,Free Shipping
64,Male,Hat,Accessories,Fall,Credit Card,Free Shipping
46,Male,Shoes,Footwear,Summer,Venmo,Express
36,Male,Belt,Accessories,Fall,PayPal,Standard
51,Male,Backpack,Accessories,Spring,Venmo,Express
51,Male,Jacket,Outerwear,Fall,Credit Card,Free Shipping
38,Male,Boots,Footwear,Summer,Cash,Next Day Air
59,Male,Scarf,Accessories,Fall,Debit Card,2-Day Shipping
57,Male,Jewelry,Accessories,Winter,Cash,Standard
54,Male,Hat,Accessories,Summer,Debit Card,Express
25,Male,Dress,Clothing,Summer,PayPal,Next Day Air
69,Male,Blouse,Clothing,Fall,Bank Transfer,Free Shipping
57,Male,Hat,Accessories,Spring,Bank Transfer,Express
70,Male,Scarf,Accessories,Fall,PayPal,Next Day Air
24,Male,Sneakers,Footwear,Fall,PayPal,Store Pickup
67,Male,Shirt,Clothing,Winter,Bank Transfer,Standard
24,Male,T-shirt,Clothing,Summer,Venmo,Free Shipping
62,Male,Gloves,Accessories,Summer,Venmo,Express
57,Male,Skirt,Clothing,Spring,Cash,Store Pickup
55,Male,Sandals,Footwear,Winter,Bank Transfer,Store Pickup
45,Male,Jacket,Outerwear,Fall,Venmo,2-Day Shipping
69,Male,Skirt,Clothing,Fall,Venmo,2-Day Shipping
67,Male,Handbag,Accessories,Fall,Venmo,Express
30,Male,Handbag,Accessories,Fall,Cash,Store Pickup
24,Male,Jacket,Outerwear,Summer,Cash,Next Day Air
62,Male,Scarf,Accessories,Spring,Bank Transfer,2-Day Shipping
43,Male,Shorts,Clothing,Spring,Cash,Free Shipping
35,Male,Sunglasses,Accessories,Winter,Venmo,Next Day Air
28,Male,T-shirt,Clothing,Spring,Credit Card,Store Pickup
32,Male,Belt,Accessories,Spring,Venmo,Free Shipping
39,Male,Sneakers,Footwear,Spring,Debit Card,Express
28,Male,Hat,Accessories,Summer,Debit Card,Store Pickup
47,Male,Gloves,Accessories,Spring,Venmo,2-Day Shipping
20,Male,Pants,Clothing,Spring,Venmo,Free Shipping
63,Male,Socks,Clothing,Summer,PayPal,Free Shipping
25,Male,Jacket,Outerwear,Spring,Debit Card,Next Day Air
29,Male,Shoes,Footwear,Spring,Cash,Free Shipping
50,Male,Jeans,Clothing,Winter,Venmo,Standard
18,Male,Socks,Clothing,Spring,Credit Card,Store Pickup
70,Male,Sandals,Footwear,Spring,Cash,Next Day Air
66,Male,Scarf,Accessories,Fall,Venmo,Standard
28,Male,Blouse,Clothing,Spring,Bank Transfer,2-Day Shipping
54,Male,Jewelry,Accessories,Winter,Bank Transfer,Express
19,Male,Sweater,Clothing,Fall,PayPal,Next Day Air
20,Male,Gloves,Accessories,Summer,PayPal,Next Day Air
43,Male,Sunglasses,Accessories,Winter,Cash,Free Shipping
38,Male,Coat,Outerwear,Winter,Debit Card,Next Day Air
50,Male,Dress,Clothing,Summer,Venmo,Store Pickup
64,Male,Skirt,Clothing,Fall,Debit Card,Free Shipping
49,Male,Pants,Clothing,Summer,PayPal,Express
47,Male,Sweater,Clothing,Winter,Credit Card,Free Shipping
36,Male,Hoodie,Clothing,Winter,PayPal,Free Shipping
55,Male,Coat,Outerwear,Summer,Credit Card,Store Pickup
25,Male,Jewelry,Accessories,Winter,Credit Card,2-Day Shipping
53,Male,Belt,Accessories,Spring,Debit Card,2-Day Shipping
49,Male,Sandals,Footwear,Summer,Cash,Next Day Air
35,Male,Sunglasses,Accessories,Spring,Credit Card,Express
29,Male,Sweater,Clothing,Spring,Credit Card,Standard
47,Male,Belt,Accessories,Winter,Venmo,Express
53,Male,Handbag,Accessories,Fall,Cash,Standard
33,Male,Skirt,Clothing,Fall,Debit Card,Express
21,Male,Handbag,Accessories,Winter,PayPal,Standard
32,Male,Shorts,Clothing,Summer,Cash,Free Shipping
52,Male,Boots,Footwear,Winter,PayPal,2-Day Shipping
67,Male,Sunglasses,Accessories,Winter,Credit Card,Store Pickup
43,Male,Scarf,Accessories,Spring,Debit Card,Free Shipping
58,Male,Jewelry,Accessories,Spring,Venmo,Express
20,Male,Handbag,Accessories,Summer,PayPal,Express
61,Male,Gloves,Accessories,Spring,Venmo,Express
32,Male,Jeans,Clothing,Fall,Credit Card,Standard
38,Male,Hat,Accessories,Winter,Bank Transfer,2-Day Shipping
21,Male,Jeans,Clothing,Winter,Cash,Standard
37,Male,Pants,Clothing,Summer,Cash,Next Day Air
27,Male,Shorts,Clothing,Summer,Credit Card,Store Pickup
36,Male,Pants,Clothing,Fall,Venmo,Store Pickup
32,Male,Backpack,Accessories,Spring,Venmo,2-Day Shipping
51,Male,Jewelry,Accessories,Summer,Cash,Express
64,Male,Sweater,Clothing,Spring,Venmo,2-Day Shipping
68,Male,Shoes,Footwear,Spring,Venmo,Store Pickup
68,Male,Blouse,Clothing,Winter,PayPal,Next Day Air
33,Male,Jeans,Clothing,Fall,Debit Card,Free Shipping
65,Male,Sunglasses,Accessories,Summer,Credit Card,Express
48,Male,Jewelry,Accessories,Summer,PayPal,2-Day Shipping
69,Male,Coat,Outerwear,Spring,Cash,Express
59,Male,Jewelry,Accessories,Spring,Credit Card,Express
48,Male,Backpack,Accessories,Winter,Debit Card,Express
25,Male,Skirt,Clothing,Fall,Debit Card,Express
29,Male,Shirt,Clothing,Winter,Credit Card,Store Pickup
57,Male,Sweater,Clothing,Spring,Bank Transfer,Express
23,Male,Sneakers,Footwear,Summer,Credit Card,Standard
45,Male,Sandals,Footwear,Fall,Debit Card,2-Day Shipping
38,Male,Belt,Accessories,Spring,Bank Transfer,Standard
21,Male,Skirt,Clothing,Summer,Debit Card,2-Day Shipping
32,Male,Sweater,Clothing,Fall,Debit Card,Next Day Air
63,Male,Skirt,Clothing,Summer,PayPal,Standard
29,Male,Handbag,Accessories,Summer,Credit Card,Express
27,Male,Jewelry,Accessories,Summer,Cash,Store Pickup
56,Male,Scarf,Accessories,Spring,Cash,2-Day Shipping
30,Male,T-shirt,Clothing,Winter,Credit Card,2-Day Shipping
49,Male,Coat,Outerwear,Fall,Debit Card,2-Day Shipping
58,Male,T-shirt,Clothing,Winter,Bank Transfer,Standard
57,Male,Dress,Clothing,Fall,Credit Card,Next Day Air
60,Male,Shoes,Footwear,Spring,Credit Card,Free Shipping
69,Male,Handbag,Accessories,Spring,PayPal,Express
70,Male,Skirt,Clothing,Spring,Cash,Store Pickup
53,Male,Sunglasses,Accessories,Winter,Venmo,Store Pickup
25,Male,Sandals,Footwear,Spring,PayPal,2-Day Shipping
48,Male,Shoes,Footwear,Summer,Bank Transfer,Standard
69,Male,T-shirt,Clothing,Winter,Cash,Standard
25,Male,Sneakers,Footwear,Summer,Credit Card,Next Day Air
29,Male,Hat,Accessories,Spring,Cash,Store Pickup
46,Male,Skirt,Clothing,Spring,Debit Card,Standard
37,Male,Sweater,Clothing,Summer,Venmo,Express
20,Male,Sandals,Footwear,Summer,Cash,Next Day Air
40,Male,Dress,Clothing,Winter,Venmo,Next Day Air
60,Male,Sweater,Clothing,Fall,Debit Card,2-Day Shipping
26,Male,Jacket,Outerwear,Summer,Debit Card,Express
29,Male,Gloves,Accessories,Winter,Cash,Free Shipping
66,Male,Handbag,Accessories,Fall,Bank Transfer,Standard
66,Male,Dress,Clothing,Spring,Bank Transfer,Standard
56,Male,Pants,Clothing,Winter,Debit Card,Standard
69,Male,Jeans,Clothing,Winter,Debit Card,Store Pickup
38,Male,Pants,Clothing,Spring,Bank Transfer,Next Day Air
42,Male,Dress,Clothing,Spring,PayPal,Express
30,Male,Pants,Clothing,Summer,PayPal,Store Pickup
66,Male,Jewelry,Accessories,Spring,Venmo,Express
36,Male,Handbag,Accessories,Fall,Bank Transfer,Free Shipping
58,Male,Sweater,Clothing,Fall,Bank Transfer,Standard
45,Male,Backpack,Accessories,Winter,PayPal,Standard
47,Male,Shorts,Clothing,Spring,Venmo,Standard
66,Male,Jewelry,Accessories,Summer,PayPal,Standard
41,Male,Sneakers,Footwear,Summer,Credit Card,Free Shipping
41,Male,Belt,Accessories,Winter,Credit Card,Standard
66,Male,Hoodie,Clothing,Winter,Venmo,Next Day Air
37,Male,Shirt,Clothing,Summer,Credit Card,Standard
70,Male,Pants,Clothing,Winter,Debit Card,Free Shipping
62,Male,Scarf,Accessories,Fall,Cash,Store Pickup
61,Male,Coat,Outerwear,Summer,PayPal,Free Shipping
48,Male,Coat,Outerwear,Fall,Debit Card,Free Shipping
70,Male,Socks,Clothing,Summer,Debit Card,2-Day Shipping
46,Male,Sweater,Clothing,Winter,Bank Transfer,Express
31,Male,Shirt,Clothing,Fall,Credit Card,Store Pickup
19,Male,Shirt,Clothing,Winter,Cash,2-Day Shipping
39,Male,Sweater,Clothing,Winter,Cash,Standard
41,Male,Blouse,Clothing,Fall,PayPal,Next Day Air
20,Male,Sweater,Clothing,Spring,Cash,Standard
36,Male,Hat,Accessories,Fall,Debit Card,Express
32,Male,Sweater,Clothing,Winter,Cash,2-Day Shipping
69,Male,Hoodie,Clothing,Winter,Venmo,Express
40,Male,Shorts,Clothing,Spring,Credit Card,2-Day Shipping
40,Male,Shorts,Clothing,Summer,Cash,Express
20,Male,Hat,Accessories,Summer,Credit Card,Store Pickup
64,Male,Coat,Outerwear,Spring,Bank Transfer,Next Day Air
27,Male,Sandals,Footwear,Summer,Cash,Next Day Air
24,Male,Skirt,Clothing,Winter,PayPal,Standard
48,Male,Shoes,Footwear,Winter,Cash,Next Day Air
49,Male,Jeans,Clothing,Spring,Credit Card,Next Day Air
36,Male,Sandals,Footwear,Fall,Credit Card,Store Pickup
56,Male,Blouse,Clothing,Fall,Bank Transfer,Free Shipping
37,Male,Hat,Accessories,Winter,Cash,2-Day Shipping
42,Male,Sweater,Clothing,Spring,Venmo,2-Day Shipping
28,Male,Skirt,Clothing,Winter,Cash,Standard
27,Male,Jeans,Clothing,Fall,Venmo,Next Day Air
63,Male,Sneakers,Footwear,Fall,Credit Card,Store Pickup
58,Male,Jewelry,Accessories,Fall,PayPal,Free Shipping
37,Male,Jewelry,Accessories,Fall,Credit Card,2-Day Shipping
56,Male,Pants,Clothing,Spring,Debit Card,Standard
18,Male,Belt,Accessories,Spring,Bank Transfer,Standard
48,Male,Hat,Accessories,Summer,Debit Card,Express
31,Male,Sneakers,Footwear,Winter,Debit Card,Store Pickup
51,Male,Pants,Clothing,Summer,Bank Transfer,Standard
65,Male,T-shirt,Clothing,Spring,Bank Transfer,Free Shipping
53,Male,Sneakers,Footwear,Fall,Cash,Free Shipping
55,Male,Shorts,Clothing,Winter,Cash,Free Shipping
62,Male,Shoes,Footwear,Summer,Debit Card,Free Shipping
55,Male,Gloves,Accessories,Summer,PayPal,Standard
64,Male,Socks,Clothing,Spring,Bank Transfer,Store Pickup
52,Male,Dress,Clothing,Spring,Credit Card,Store Pickup
24,Male,Handbag,Accessories,Spring,Venmo,Standard
38,Male,Belt,Accessories,Summer,Cash,Store Pickup
59,Male,Scarf,Accessories,Winter,Credit Card,Express
27,Male,Sneakers,Footwear,Winter,Bank Transfer,2-Day Shipping
24,Male,Sweater,Clothing,Summer,Credit Card,Standard
23,Male,Coat,Outerwear,Summer,Bank Transfer,Express
69,Male,Jewelry,Accessories,Spring,Bank Transfer,Store Pickup
59,Male,Sunglasses,Accessories,Summer,Debit Card,Standard
51,Male,Shoes,Footwear,Fall,PayPal,Express
63,Male,Scarf,Accessories,Spring,Debit Card,Standard
54,Male,Dress,Clothing,Winter,Cash,Next Day Air
32,Male,T-shirt,Clothing,Fall,Debit Card,2-Day Shipping
39,Male,Backpack,Accessories,Fall,PayPal,Store Pickup
66,Male,Jewelry,Accessories,Winter,Debit Card,Store Pickup
28,Male,Jeans,Clothing,Winter,PayPal,Store Pickup
50,Male,Sunglasses,Accessories,Fall,Credit Card,Standard
70,Male,Sweater,Clothing,Fall,Credit Card,2-Day Shipping
67,Male,Shorts,Clothing,Fall,Credit Card,Next Day Air
64,Male,Jewelry,Accessories,Spring,Cash,Express
45,Male,Coat,Outerwear,Summer,Cash,Store Pickup
22,Male,Handbag,Accessories,Summer,Credit Card,Store Pickup
27,Male,Boots,Footwear,Spring,Venmo,Standard
25,Male,Gloves,Accessories,Winter,Debit Card,2-Day Shipping
37,Male,Sweater,Clothing,Spring,Cash,Standard
26,Male,T-shirt,Clothing,Spring,PayPal,Next Day Air
33,Male,Shoes,Footwear,Fall,Credit Card,Standard
43,Male,Scarf,Accessories,Spring,PayPal,Store Pickup
37,Male,Sneakers,Footwear,Winter,Cash,Store Pickup
46,Male,Dress,Clothing,Fall,Bank Transfer,Standard
22,Male,Belt,Accessories,Fall,Venmo,Free Shipping
20,Male,Boots,Footwear,Winter,PayPal,Free Shipping
60,Male,Scarf,Accessories,Fall,Credit Card,2-Day Shipping
39,Male,Boots,Footwear,Winter,Venmo,Free Shipping
43,Male,T-shirt,Clothing,Fall,Bank Transfer,Standard
31,Male,Backpack,Accessories,Fall,PayPal,Express
19,Male,Sneakers,Footwear,Winter,Credit Card,Next Day Air
35,Male,T-shirt,Clothing,Spring,Credit Card,Store Pickup
41,Male,Jeans,Clothing,Summer,Debit Card,Standard
52,Male,Gloves,Accessories,Spring,Debit Card,Express
45,Male,Hoodie,Clothing,Spring,Debit Card,Next Day Air
34,Male,Sneakers,Footwear,Spring,Credit Card,Express
35,Male,Shorts,Clothing,Winter,Debit Card,2-Day Shipping
29,Male,Sweater,Clothing,Spring,Debit Card,2-Day Shipping
59,Male,Jeans,Clothing,Summer,Cash,Express
24,Male,Jacket,Outerwear,Summer,Venmo,Store Pickup
70,Male,Jewelry,Accessories,Summer,Debit Card,Free Shipping
29,Male,Backpack,Accessories,Winter,Bank Transfer,Store Pickup
67,Male,Coat,Outerwear,Winter,Venmo,Express
36,Male,Belt,Accessories,Spring,Bank Transfer,Free Shipping
23,Male,Sandals,Footwear,Fall,PayPal,Free Shipping
18,Male,Sweater,Clothing,Spring,Cash,Standard
53,Male,Shorts,Clothing,Winter,Credit Card,Free Shipping
32,Male,Socks,Clothing,Spring,Credit Card,Free Shipping
38,Male,Shirt,Clothing,Winter,Cash,Standard
47,Male,Pants,Clothing,Fall,Bank Transfer,Store Pickup
46,Male,Scarf,Accessories,Spring,Bank Transfer,Store Pickup
66,Male,Sweater,Clothing,Winter,Credit Card,Standard
40,Male,Jeans,Clothing,Winter,Debit Card,Store Pickup
43,Male,Pants,Clothing,Winter,Cash,Express
58,Male,Backpack,Accessories,Winter,Cash,Store Pickup
21,Male,Coat,Outerwear,Winter,Venmo,Free Shipping
42,Male,Sandals,Footwear,Winter,Venmo,2-Day Shipping
24,Male,Shirt,Clothing,Summer,Debit Card,Store Pickup
43,Male,Hat,Accessories,Winter,Credit Card,Store Pickup
47,Male,Shirt,Clothing,Fall,Debit Card,Free Shipping
49,Male,Skirt,Clothing,Fall,Bank Transfer,Store Pickup
50,Male,Shoes,Footwear,Spring,Bank Transfer,Store Pickup
51,Male,Coat,Outerwear,Winter,PayPal,Next Day Air
40,Male,Pants,Clothing,Summer,Cash,Free Shipping
45,Male,Jewelry,Accessories,Summer,Credit Card,Next Day Air
52,Male,Belt,Accessories,Winter,Cash,Express
62,Male,Jacket,Outerwear,Summer,PayPal,Free Shipping
20,Male,Shirt,Clothing,Winter,Debit Card,Store Pickup
43,Male,Hoodie,Clothing,Winter,Bank Transfer,Standard
29,Male,Sunglasses,Accessories,Fall,Bank Transfer,Store Pickup
22,Male,Sunglasses,Accessories,Summer,PayPal,Free Shipping
48,Male,Dress,Clothing,Summer,Debit Card,Store Pickup
42,Male,Boots,Footwear,Fall,Bank Transfer,Standard
19,Male,Shirt,Clothing,Summer,Bank Transfer,Store Pickup
60,Male,Shorts,Clothing,Spring,Venmo,Standard
32,Male,Gloves,Accessories,Summer,Credit Card,Next Day Air
26,Male,Jewelry,Accessories,Summer,PayPal,2-Day Shipping
25,Male,Boots,Footwear,Summer,Venmo,Store Pickup
